DISTRITO FEDERAL,DISTRITO LOCAL,REGIÓN,MUNICIPIO,,POLÍGONO,SECCIÓN,LNOM,META,COMPROMISOS,AVANCE,DETECTADOS,OTROS,PORCENTAJE,EFECTIVIDAD
14,18,R6,CELAYA,,30_327_12_03,438_56_379902,378,189,94.5,94.5,31.5,3,0,-100
14,18,R6,CELAYA,,30_327_12_03,438_56_380902,286,143,71.5,71.5,23.83333333,61,4.1958,-82.0896
14,18,R6,CELAYA,,30_327_12_03,438_56_381902,464,232,116,116,38.66666667,16,0.431,-88.2353
14,18,R6,CELAYA,,30_327_12_03,438_56_382902,576,288,144,144,48,3,0,-100
14,18,R6,CELAYA,,30_327_12_03,438_56_383902,640,320,160,160,53.33333333,1,0,-100
14,18,R6,CELAYA,,30_327_12_03,438_56_384902,916,458,229,229,76.33333333,355,4.5852,-88.8298
14,18,R6,CELAYA,,30_327_12_03,438_56_385902,598,299,149.5,149.5,49.83333333,9,0,-100
14,18,R6,CELAYA,,30_327_12_03,438_56_386902,492,246,123,123,41,3,0,-100
14,18,R6,CELAYA,,30_327_12_03,438_56_387902,568,284,142,142,47.33333333,0,0,0
14,18,R6,CELAYA,,30_327_8_03,438_56_391902,428,214,107,107,35.66666667,8,0,-100
14,18,R6,CELAYA,,30_327_8_03,438_56_392902,468,234,117,117,39,6,0,-100
14,18,R6,CELAYA,,30_327_10_03,438_56_393902,624,312,156,156,52,6,0,-100
14,18,R6,CELAYA,,30_327_8_03,438_56_394902,346,173,86.5,86.5,28.83333333,1,0,-100
14,18,R6,CELAYA,,30_327_8_03,438_56_395902,218,109,54.5,54.5,18.16666667,1,0,-100
14,18,R6,CELAYA,,30_327_8_03,438_56_396902,588,294,147,147,49,264,0,-100
14,18,R6,CELAYA,,30_327_8_03,438_56_405902,374,187,93.5,93.5,31.16666667,3,0,-100
14,18,R6,CELAYA,,30_327_8_03,438_56_406902,264,132,66,66,22,0,0,0
14,18,R6,CELAYA,,30_327_8_03,438_56_407902,410,205,102.5,102.5,34.16666667,10,0,-100
14,18,R6,CELAYA,,30_327_11_03,438_56_408902,582,291,145.5,145.5,48.5,0,0,0
14,18,R6,CELAYA,,30_327_11_03,438_56_409902,456,228,114,114,38,0,0,0
14,18,R6,CELAYA,,30_327_11_03,438_56_410902,422,211,105.5,105.5,35.16666667,0,0,0
14,18,R6,CELAYA,,30_327_11_03,438_56_411902,340,170,85,85,28.33333333,0,0,0
14,18,R6,CELAYA,,30_327_11_03,438_56_412902,4172,2086,1043,1043,347.6666667,26,0,-100
14,18,R6,CELAYA,,30_327_11_03,438_56_413902,586,293,146.5,146.5,48.83333333,0,0,0
14,18,R6,CELAYA,,30_327_11_03,438_56_414902,490,245,122.5,122.5,40.83333333,2,0,-100
14,18,R6,CELAYA,,30_327_10_03,438_56_415902,718,359,179.5,179.5,59.83333333,0,0,0
14,18,R6,CELAYA,,30_327_10_03,438_56_416902,472,236,118,118,39.33333333,7,0,-100
14,18,R6,CELAYA,,30_327_8_03,438_56_417902,250,125,62.5,62.5,20.83333333,0,0,0
14,18,R6,CELAYA,,30_327_8_03,438_56_418902,268,134,67,67,22.33333333,0,0,0
14,18,R6,CELAYA,,30_327_8_03,438_56_419902,304,152,76,76,25.33333333,1,0,-100
14,18,R6,CELAYA,,30_327_8_03,438_56_428902,188,94,47,47,15.66666667,2,0,-100
14,18,R6,CELAYA,,30_327_8_03,438_56_429902,182,91,45.5,45.5,15.16666667,0,0,0
14,18,R6,CELAYA,,30_327_8_03,438_56_430902,88,44,22,22,7.333333333,1,0,-100
14,18,R6,CELAYA,,30_327_8_03,438_56_431902,518,259,129.5,129.5,43.16666667,2,0,-100
14,18,R6,CELAYA,,30_327_10_03,438_56_432902,370,185,92.5,92.5,30.83333333,2,0,-100
14,18,R6,CELAYA,,30_327_10_03,438_56_433902,356,178,89,89,29.66666667,3,0,-100
14,18,R6,CELAYA,,30_327_11_03,438_56_434902,666,333,166.5,166.5,55.5,1,0,-100
14,18,R6,CELAYA,,30_327_11_03,438_56_435902,470,235,117.5,117.5,39.16666667,4,0,-100
16,18,R6,TARIMORO,,30_3239_2_03,438_56_2759902,248,124,178,146,20,126,16.129,-72.6027
16,18,R6,TARIMORO,,30_3239_2_03,438_56_2760902,142,71,69,0,0,0,0,0
16,18,R6,TARIMORO,,30_3239_2_03,438_56_2761902,896,448,461,263,45,218,10.0446,-65.7795
16,18,R6,TARIMORO,,30_3239_2_03,438_56_2762902,396,198,179,113,12,101,6.0606,-78.7611
16,18,R6,TARIMORO,,30_3239_2_03,438_56_2763902,484,242,158,378,30,348,12.3967,-84.127
16,18,R6,TARIMORO,,30_3239_3_03,438_56_2764902,226,113,118,184,23,161,20.354,-75
16,18,R6,TARIMORO,,30_3239_2_03,438_56_2765902,424,212,260,0,0,0,0,0
16,18,R6,TARIMORO,,30_3239_2_03,438_56_2766902,332,166,181,0,0,0,0,0
16,18,R6,TARIMORO,,30_3239_2_03,438_56_2767902,612,306,337,0,0,0,0,0
16,18,R6,TARIMORO,,30_3239_2_03,438_56_2768902,520,260,127,0,0,0,0,0
16,18,R6,TARIMORO,,30_3239_2_03,438_56_2769902,392,196,203,0,0,0,0,0
16,18,R6,TARIMORO,,30_3239_2_03,438_56_2770902,368,184,191,0,0,0,0,0
16,18,R6,TARIMORO,,30_3239_2_03,438_56_2771902,638,319,333,0,0,0,0,0
16,18,R6,TARIMORO,,30_3239_2_03,438_56_2772902,444,222,276,0,0,0,0,0
16,18,R6,TARIMORO,,30_3239_3_03,438_56_2773902,396,198,203,274,29,245,14.6465,-78.8321
16,18,R6,TARIMORO,,30_3239_3_03,438_56_2774902,310,155,158,63,15,48,9.6774,-52.381
16,18,R6,TARIMORO,,30_3239_3_03,438_56_2775902,264,132,138,0,0,0,0,0
16,18,R6,TARIMORO,,30_3239_3_03,438_56_2776902,332,166,172,0,0,0,0,0
16,18,R6,TARIMORO,,30_3239_3_03,438_56_2777902,518,259,253,2,2,0,0.7722,100
14,19,R6,CELAYA,,30_327_14_03,438_56_336902,5330,2665,1332.5,1332.5,444.1666667,1713,2.8143,-91.6107
14,19,R6,CELAYA,,30_327_1_03,438_56_337902,646,323,161.5,161.5,53.83333333,2,0,-100
14,19,R6,CELAYA,,30_327_1_03,438_56_338902,1412,706,353,353,117.6666667,120,0.8499,-90.4762
14,19,R6,CELAYA,,30_327_2_03,438_56_339902,1420,710,355,355,118.3333333,283,2.8169,-86.7987
14,19,R6,CELAYA,,30_327_2_03,438_56_340902,592,296,148,148,49.33333333,4,0,-100
14,19,R6,CELAYA,,30_327_3_03,438_56_341902,1480,740,370,370,123.3333333,34,0.2703,-88.8889
14,19,R6,CELAYA,,30_327_3_03,438_56_342902,962,481,240.5,240.5,80.16666667,4,0,-100
14,19,R6,CELAYA,,30_327_3_03,438_56_343902,3600,1800,900,900,300,326,0,-100
14,19,R6,CELAYA,,30_327_3_03,438_56_344902,720,360,180,180,60,18,0,-100
14,19,R6,CELAYA,,30_327_1_03,438_56_345902,374,187,93.5,93.5,31.16666667,0,0,0
